Month,Pho,Ramen,Soba
2004-01,5,45,11
2004-02,5,39,10
2004-03,4,32,10
2004-04,5,31,10
2004-05,5,33,11
2004-06,5,31,12
2004-07,4,31,12
2004-08,6,37,12
2004-09,5,37,12
2004-10,6,32,12
2004-11,5,30,11
2004-12,5,29,10
2005-01,5,31,9
2005-02,5,28,9
2005-03,5,26,8
2005-04,5,27,9
2005-05,6,31,11
2005-06,6,28,11
2005-07,5,31,11
2005-08,6,32,12
2005-09,6,30,11
2005-10,7,28,11
2005-11,7,27,10
2005-12,7,25,10
2006-01,6,28,9
2006-02,6,26,8
2006-03,6,23,8
2006-04,5,26,9
2006-05,6,27,10
2006-06,6,24,9
2006-07,6,27,10
2006-08,6,27,10
2006-09,6,26,9
2006-10,6,24,9
2006-11,6,22,10
2006-12,6,23,9
2007-01,6,26,8
2007-02,6,26,8
2007-03,6,24,8
2007-04,6,22,8
2007-05,6,24,10
2007-06,7,25,9
2007-07,7,26,10
2007-08,7,26,11
2007-09,8,27,10
2007-10,8,24,10
2007-11,7,23,9
2007-12,7,22,10
2008-01,7,25,8
2008-02,7,24,8
2008-03,8,23,8
2008-04,7,23,9
2008-05,7,25,9
2008-06,7,24,9
2008-07,7,24,10
2008-08,8,25,10
2008-09,7,26,9
2008-10,8,24,10
2008-11,8,25,9
2008-12,8,23,9
2009-01,7,25,8
2009-02,9,24,8
2009-03,9,23,8
2009-04,9,23,8
2009-05,9,26,9
2009-06,9,25,8
2009-07,9,25,9
2009-08,9,27,9
2009-09,9,27,9
2009-10,10,27,8
2009-11,10,25,8
2009-12,10,25,8
2010-01,11,25,7
2010-02,10,25,7
2010-03,11,23,7
2010-04,11,24,7
2010-05,11,27,8
2010-06,10,24,8
2010-07,12,27,9
2010-08,12,29,10
2010-09,13,30,9
2010-10,14,29,9
2010-11,14,29,8
2010-12,14,26,9
2011-01,13,28,8
2011-02,13,29,8
2011-03,13,24,6
2011-04,14,29,8
2011-05,14,30,9
2011-06,14,30,9
2011-07,15,31,10
2011-08,15,33,10
2011-09,15,35,10
2011-10,15,33,10
2011-11,15,36,10
2011-12,16,34,10
2012-01,15,36,9
2012-02,16,36,9
2012-03,15,35,9
2012-04,15,37,10
2012-05,15,38,12
2012-06,14,37,11
2012-07,15,39,12
2012-08,16,44,13
2012-09,16,45,12
2012-10,16,47,12
2012-11,16,44,11
2012-12,17,42,12
2013-01,18,46,11
2013-02,15,46,11
2013-03,16,45,11
2013-04,16,45,12
2013-05,16,48,14
2013-06,16,46,13
2013-07,17,49,14
2013-08,18,59,16
2013-09,18,54,13
2013-10,19,52,13
2013-11,18,53,13
2013-12,19,49,13
2014-01,20,51,12
2014-02,19,48,12
2014-03,20,49,13
2014-04,22,51,13
2014-05,21,52,15
2014-06,20,47,13
2014-07,21,50,15
2014-08,21,55,16
2014-09,19,54,14
2014-10,21,53,13
2014-11,21,53,13
2014-12,21,51,15
2015-01,21,55,13
2015-02,18,55,13
2015-03,20,54,14
2015-04,20,56,15
2015-05,19,58,17
2015-06,19,60,16
2015-07,20,62,16
2015-08,21,66,19
2015-09,21,66,16
2015-10,21,66,16
2015-11,21,65,16
2015-12,21,65,17
2016-01,21,66,14
2016-02,19,65,15
2016-03,20,63,15
2016-04,20,65,17
2016-05,20,68,20
2016-06,20,65,17
2016-07,20,66,18
2016-08,20,64,17
2016-09,24,70,17
2016-10,24,68,17
2016-11,23,66,16
2016-12,24,69,19
2017-01,22,72,16
2017-02,22,71,15
2017-03,22,73,16
2017-04,22,72,18
2017-05,20,75,21
2017-06,20,75,21
2017-07,21,76,21
2017-08,20,82,22
2017-09,21,79,20
2017-10,22,77,18
2017-11,23,77,18
2017-12,24,77,20
2018-01,23,82,17
2018-02,20,81,16
2018-03,22,82,17
2018-04,21,79,18
2018-05,21,79,22
2018-06,20,80,20
2018-07,21,78,22
2018-08,21,88,23
2018-09,21,85,20
2018-10,22,83,19
2018-11,23,81,20
2018-12,23,84,22
2019-01,23,90,19
2019-02,22,91,19
2019-03,22,88,19
2019-04,21,87,20
2019-05,20,90,23
2019-06,22,89,21
2019-07,28,86,21
2019-08,23,96,24
2019-09,23,92,21
2019-10,24,93,19
2019-11,26,95,20
2019-12,27,91,22
2020-01,24,100,21
2020-02,23,55,10
2020-03,18,29,4
2020-04,21,72,14
2020-05,42,75,17