Week,Microsoft Windows: (Worldwide),Linux: (Worldwide),macOS: (Worldwide)
2019-05-19,74,15,8
2019-05-26,72,14,7
2019-06-02,72,14,8
2019-06-09,75,15,8
2019-06-16,74,15,8
2019-06-23,72,15,8
2019-06-30,71,14,8
2019-07-07,75,15,8
2019-07-14,75,14,7
2019-07-21,71,14,7
2019-07-28,72,14,7
2019-08-04,71,14,7
2019-08-11,76,14,8
2019-08-18,78,15,8
2019-08-25,78,15,8
2019-09-01,79,15,8
2019-09-08,78,15,8
2019-09-15,79,16,9
2019-09-22,79,16,9
2019-09-29,79,15,9
2019-10-06,78,15,11
2019-10-13,77,16,10
2019-10-20,75,16,9
2019-10-27,73,15,9
2019-11-03,76,16,9
2019-11-10,78,15,9
2019-11-17,77,16,9
2019-11-24,74,15,8
2019-12-01,75,16,8
2019-12-08,77,15,8
2019-12-15,76,15,8
2019-12-22,72,12,7
2019-12-29,69,12,7
2020-01-05,81,15,8
2020-01-12,92,15,8
2020-01-19,84,16,8
2020-01-26,79,15,8
2020-02-02,81,16,8
2020-02-09,78,17,8
2020-02-16,77,17,8
2020-02-23,73,16,8
2020-03-01,75,17,8
2020-03-08,76,16,9
2020-03-15,92,16,12
2020-03-22,98,16,12
2020-03-29,100,15,11
2020-04-05,93,15,11
2020-04-12,95,15,11
2020-04-19,94,15,10
2020-04-26,90,15,10
2020-05-03,87,15,9
2020-05-10,87,15,9